"Symbol zákazníka";"Symbol";"Označení výrobce";"Výrobce";"Množství";"Jednotka";"Cena bez DPH";"Cena s DPH";"Hodnota bez DPH";"Hodnota s DPH";"Měna"
"";"B3FS-1015";"B3FS-1015";"OMRON Electronic Components";"4";"ks";"7.323";"35.44";"29.29";"35.44";"CZK"
"";"RC0603JR-070R";"RC0603JR-070RL";"YAGEO";"10";"ks";"0.46066";"5.58";"4.61";"5.58";"CZK"
"";"RC0603FR-07560R";"RC0603FR-07560RL";"YAGEO";"10";"ks";"0.19251";"2.35";"1.94";"2.35";"CZK"
"";"RC0603FR-07220K";"RC0603FR-07220KL";"YAGEO";"10";"ks";"0.14499";"1.75";"1.45";"1.75";"CZK"
"";"RC1206FR-07560R";"RC1206FR-07560RL";"YAGEO";"6";"ks";"1.10824";"7.93";"6.55";"7.93";"CZK"
"";"WR06X51R0FTL";"WR06X51R0FTL";"WALSIN";"10";"ks";"0.26936";"3.23";"2.67";"3.23";"CZK"
"";"RC0603FR-071K";"RC0603FR-071KL";"YAGEO";"10";"ks";"0.46066";"5.58";"4.61";"5.58";"CZK"
"";"LQG18HN18NJ00D";"LQG18HN18NJ00D";"MURATA";"6";"ks";"2.5894";"18.78";"15.52";"18.78";"CZK"
"";"RF-TGB190TS-CA-P1";"RF-TGB190TS-CA-P1";"REFOND";"6";"ks";"2.0541";"14.91";"12.32";"14.91";"CZK"
"";"GJM1555C1H130GB01D";"GJM1555C1H130GB01D";"MURATA";"10";"ks";"1.0637";"12.9";"10.66";"12.9";"CZK"
"";"GJM1555C1H470JB01D";"GJM1555C1H470JB01D";"MURATA";"10";"ks";"1.0176";"12.27";"10.14";"12.27";"CZK"
"";"C0603C333K3RAC";"C0603C333K3RACTU";"KEMET";"4";"ks";"1.2535";"6.16";"5.09";"6.16";"CZK"
"";"CL21A226MAYNNNE";"CL21A226MAYNNNE";"SAMSUNG";"6";"ks";"1.4173";"10.19";"8.42";"10.19";"CZK"
"";"GRM188R61E106KA73D";"GRM188R61E106KA73D";"MURATA";"10";"ks";"1.1861";"14.34";"11.85";"14.34";"CZK"
"";"GRM188R61E225KA12D";"GRM188R61E225KA12D";"MURATA";"10";"ks";"0.7372";"8.92";"7.37";"8.92";"CZK"
"";"CL21B475KAFNNNE";"CL21B475KAFNNNE";"SAMSUNG";"27";"ks";"1.8487";"60.39";"49.91";"60.39";"CZK"
"";"0603B104K250CT";"0603B104K250CT";"WALSIN";"25";"ks";"0.29579";"8.94";"7.39";"8.94";"CZK"